serial_no,semester,department,course_code,name_zh,name_en,instructor,edu_system,credit,teaching_goal,teaching_content,textbooks,self_compiled_ratio,instruction_way,grading,office_hour,teaching_weeks,flex_learning,course_domain
52058,1142,Department of Computer Science and Elec. Engineering,CE8014-*,AI代理系統之設計與開發,Agentic AI: Foundations and Development,"Chang, Chia-Hui",Master/Doctoral Programme,3,"With the advances in computer vision, speech recognition, and large language models, we can now equip computers with perception and generative ability. Large language models brained Agents in particular have been a key breakthrough, allowing Agentic AI to reason its world through natural language and leverage broad knowledge to make smarter decisions.
This course aims to explore the theoretical foundations of Agentic AI and the platforms and tools for developing AI agents. The focus will be guiding students in creating autonomous agents capable of operating independently, making decisions in complex environments, and completing sophisticated tasks.

Learning Objectives
Upon completing this course, students will be able to:
Understand the fundamental principles and architecture of Agentic AI systems.
Design and implement essential AI agents using modern frameworks and tools.
Consider ethical and safety aspects in AI agent design.
Evaluate the performance and limitations of Agentic AI systems.
Assess the challenges AI agents face when interacting in real-world environments.

Prerequisites
Programming background (Python)
Familiarity with basic artificial intelligence concepts
Fundamental knowledge of machine learning and neural networks","This hands-on course focuses on developing autonomous AI agents with practical applications, emphasizing web interaction, multi-agent systems, memory management, and human-in-the-loop learning. Students will progressively build an agent system through four interconnected assignments and a final project.
Weeks 1: Course Introduction
● Introduction to agency in AI systems
● Historical development of autonomous agents
● Agent architectures and frameworks
● Core components: perception, reasoning, and action
● Practical: Building a simple rule-based agent
● Readings: Agentic AI concepts, Chatbots vs. Copilots vs. AI Agents
Weeks 2-4: Assignment 1 - Reflexive Web Agent with Tools Use (15%)
● Language models brained agents
● Prompt engineering for agency
● Tool use and API interaction
● LLM Reasoning: Chain-of-Thoughts, Tree-of-Thoughts
● Schema-guided task-oriented dialog systems
● Vision Language Models models
Technical Focus
● Prompt Engineering: Assign specialized roles and pre-built and custom tools to agents
● Planning algorithm
● Basic web interaction patterns
● Selenium
● Web Crawling
Weeks 5-7: Assignment 2 - Self-Reflection via MultiAgent Collaboration (15%)
● Agent communication and coordination framework: Collaborative and competitive agents
● Decision-making under uncertainty
● Reinforcement learning for agent behavior
● Self-Reflection mechanism
● Evaluation of task result for decision-making
● Guardrails: consider governance in design, development and deployment stages
Technical Focus
● Break down the tasks, goals, and tools and assign to multiple AI agents for better performance
● LangChain, LangGraph, AutoGen, CrewAI
Weeks 8-10: Assignment 3 - Agents with Memory Recall via RAG (15%)
● Memory management systems: Provide agents with short-term, long-term, and shared memory
● Goal representation and task decomposition
● Information retrieval based on embedding
● Retrieval augmented generation
● Object reference resolution
Technical Focus
● RAG architecture design
● Query optimization
Week 11: Midterm Examination (15%)
Weeks 12-14: Human in the Loop Reinforcement Learning (15%)
● Human in the Loop Interaction
● Experience recording
● Memory persistence
● Task decomposition and Hierarchical architectures
● Adaptive behavior patterns Technical Focus
● Instruction-guided learning implementation
● RAG optimization for learned behaviors
Weeks 15-18: Final Project (25%)
● Integrate all previous assignments to a real-world environment
● Define environment and actions, e.g. LINE APP, Windows OS, or Smart Home APP
● Guardrails: Effectively handle errors, hallucinations, and infinite loops
Technical Focus
● Complete agent system integration
● Environment-specific adaptations
● Comprehensive documentation
● Performance optimization","1. Agentic AI: Autonomous Intelligence for Complex Goals—A Comprehensive Survey
https://ieeexplore.ieee.org/abstract/document/10849561
2. LLM-Brained GUI Agents Survey https://arxiv.org/abs/2411.18279
3. GUI Agents Survey https://arxiv.org/abs/2412.13501
4. OS Agents https://github.com/OS-Agent-Survey/OS-Agent-Survey",100,"Lecture
		Seminar
		Practical Training Lab","3 Programming Assignments: 45%
Paper Reading & Oral Report: 10%
Involvement & Discussion: 10%
Mid-term Exam: 15%
Final Project: 20%",Monday 8:30am-9:30pm; 4:00pm-5:00pm,16,We encourage students to submit their final projects to conferences and journals.,人工智慧、資料科學與多媒體研究群
52059,1142,Department of Computer Science and Elec. Engineering,CEA011-*,機器學習,Machine Learning,"Sun, Min-Te(Peter)",Master Programme (Adult Learning),3,,,,0,,,,16,According to the explanation provided by the instructor during class.,
52060,1142,Department of Computer Science and Elec. Engineering,CEA018-*,互動科技及3D遊戲技術於醫學工程暨復健的應用,Interactive Technologies and Serious Games for Rehabilitation,"Yeh, Shih-Ching",Master Programme (Adult Learning),3,,,,0,,,0,16,According to the explanation provided by the instructor during class.,
52061,1142,Department of Computer Science and Elec. Engineering,CEA036-*,電腦攻擊與防禦,The Attack and Defense of Computers,"Hsu, Fu-Hau",Master Programme (Adult Learning),3,To learn to principle of various system attacks and the approaches to protect a system against these attacks.,"“Scanning
Enumeration
Port-Scanning
OS fingerprinting.
Hacking Unix
Buffer Overflow Attacks/Return Into Libc Attacks
Internet Worm
Format String Attacks
Input Validation Attacks
Integer Overflow and Integer Sign Attacks
TCP session Hijackng
Denial of Service Attacks/Distributed DoS
Malware: Virus, Trojan Horse, Spyware, Rootkit, Dialer, Key logger
Cross Site Script (XSS)
SQL Injection“",Lectrue Slides,100%,Lecture,"Midterm 25％
Final 40％
Assignment 30％
Attendance: 5％",Wed. afternoon,16,adjust according to the progress of the lectures,資安、網路、資料庫與系統研究群
52062,1142,Department of Computer Science and Elec. Engineering,CEA037-*,嵌入式系統設計,Embedded System Design,"Chen, Ching-Han",Master Programme (Adult Learning),3,"“In this course, we will explore the methods and techniques of hardware and firmware design for embedded systems. Including the selection of embedded processors, hardware / firmware cutting, peripheral drives, system architecture, development tools, embedded software design and other topics. This course is based on the ARM Cortex-M7 microprocessor architecture, and the STM32H743 MCU is used as an experimental platform. Through experiments, various peripheral drivers and embedded intermediary software development and implementation are conducted, allowing students to understand the embedded system design methodology and system implementation Workflow.“","“1.嵌入式系統設計方法論簡介
2.嵌入式系統架構設計
3.嵌入式系統離散事件建模
4.嵌入式軟體高階合成
5，DIO_AIO
6.UART_I2C_SPI通訊介面
7，Timer_Counter_PWM
8.應用周邊1_九軸感測器MPU9255_加速計_陀螺儀_磁力計
9.應用周邊2_Touch LCD
10.應用周邊3_VL53L0X距離感測與LiDAR
11.藍牙_麥克風_溫濕度
12.嵌入式視覺系統開發
13.嵌入式神經網路
14.期末專題：架構設計
15.期末專題：離散事件建模
16.期末專題：高階合成與軟硬體整合驗證
1. Qi?nr? sh? x?t?ng sh?j? f?ngf?l?n ji?nji?
2. Qi?nr? sh? x?t?ng ji?g?u sh?j?
3. Qi?nr? sh? x?t?ng l?s?n sh?ji?n ji?n m?
4. Qi?nr? sh? ru?nt? g?oji? h?ch?ng
5,DIO_AIO
6.UART_I2C_SPI t?ngx?n ji?mi?n
7,Timer_Counter_PWM
8. Y?ngy?ng zh?ubi?n 1_ji? zh?u g?n c? q? MPU9255_ji?s? j?_tu?lu? y?_c?l? j?
9. Y?ngy?ng zh?ubi?n 2_Touch LCD
10. Y?ngy?ng zh?ubi?n 3_VL53L0X j?l? g?n c? y? LiDAR
11. L?ny?_m?ik?f?ng_w?n sh?d?
12. Qi?nr? sh? sh?ju? x?t?ng k?if?
13. Qi?nr? sh? sh?nj?ng w?ng l?
14. Q?m? zhu?nt?: Ji?g?u sh?j?
15. Q?m? zhu?nt?: L?s?n sh?ji?n ji?n m?
16. Q?m? zhu?nt?: G?oji? h?ch?ng y? ru?n y?ng t? zh?ngh? y?nzh?ng
顯示更多內容
266/5000
1.Introduction to Embedded System Design Methodology
2. Embedded system architecture design
3. Discrete event modeling for embedded systems
4. Embedded software advanced synthesis
5, DIO_AIO
6.UART_I2C_SPI communication interface
7, Timer_Counter_PWM
8. Application Peripheral 1_Nine-axis Sensor MPU9255_Accelerometer_Gyroscope_Magnetometer
9. Application peripheral 2_Touch LCD
10. Application peripheral 3_VL53L0X distance sensing and LiDAR
11.Bluetooth_microphone_temperature and humidity
12. Embedded vision system development
13. Embedded Neural Network
14. Closing Topic: Architecture Design
15. Closing Topic: Discrete Event Modeling
16. End-of-Term Topic: High-Level Synthesis and Integration of Software and Hardware“",Handouts,100,"Lecture
		
		Practical Training Lab","3 Assignments: 20％
Midterm: 30％
Final Project Report (written and oral): 50％","""10:00~12:00, Tuesday""",16,According to the explanation provided by the instructor during class.,資安、網路、資料庫與系統研究群
52063,1142,Department of Computer Science and Elec. Engineering,CEA051-*,論文討論Ⅰ,Thesis Research,教授群,Master Programme (Adult Learning),3,4oCcUmVzZWFyY2ggUHJvZ3Jlc3MKRmluaXNoIFRoZXNpc+KAnA==,4oCcUGFwZXIgcHJlc2VudGF0aW9uClRoZXNpcyBkaXNjdXNzaW9u4oCc,Ti9B,100,"Seminar
		
		Individual Instruction",UmVzZWFyY2ggUHJvZ3Jlc3M=,Appointment,16,"Study, discuss and share the latest research results in the field.","人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52064,1142,Department of Computer Science and Elec. Engineering,CEA052-*,論文討論Ⅱ,Thesis Research,指導教授,Master Programme (Adult Learning),3,"“Research Progress
Finish Thesis“","“Paper presentation
Thesis discussion“",N/A,100,"Seminar
		
		Individual Instruction",Research Progress,Appointment,16,According to the explanation provided by the instructor during class.,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52065,1142,Department of Computer Science and Elec. Engineering,CEA055-*,社群媒體探勘,Social Media Mining,"TSAI, TZONG-HAN",Master Programme (Adult Learning),3,,,,,Lecture,,,16,According to the explanation provided by the instructor during class.,
52066,1142,Department of Computer Science and Elec. Engineering,SE6029-*,物件導向分析與設計,Object-Oriented Analysis and Design,"Cheng, Yung-Pin",Master/Doctoral Programme,3,To teach students the basic concepts of object-oriented programming and analysis so that students can write maintainable object-oriented source code in their implementation.,"1. Introduction to software engineering
2. The history of object-oriented technology
3. An introduction to C++
4. Inheritance
5. Polymorphism
6. encapsulation
7. modeling
8. Database normalization and  ERD diagram
9. UML Class Diagram
10. UML sequence Diagram
11. Design Patterns","“1. An Introduction to Object-Oriented Analysis (objects and UML in plain English) by David William Brown.
2. UML Distilled, A brief guide to the standard object modeling language -  Martin Fowler
3. Design Patterns
4. Head First Design Pattern“",0,"Lecture
		
		Practical Training Lab","1. Programming project and exercise 60％
2. Case Study 10％
3. written exam 30％",四/567,16,According to the explanation provided by the instructor during class.,數位學習研究群
52067,1142,Department of Computer Science and Elec. Engineering,SE6030-*,軟體工程實務,Software engineering practices,"Liang, De-Ron
Cheng, Yung-Pin",Master/Doctoral Programme,3,"The students are asked to learn the following skills and concepts:  
1. Debugging  
2. Code tracing  
3. Rebuilding flow charts from a given program  
4. SPLC  
5. Fundamental software documentation  
6. Software quality management  
7. Testing  
8. Code review  
9. Software project management","1. Debugging
2. Code tracing
3. Rebuilding flow charts from a given program
4. SPLC
5. Fundamental software documentation
6. Software quality management
7. Testing
8. Code review
9. Software project management","Sommerville,“Software Engineerig (7th Edition)”, SOMMERVILLE, 2004.",100,"Lecture
		
		Practical Training Lab",100% labs/assignments,By appointments,16,Online learning and self-directed learning,軟體工程與計算理論研究群
52068,1142,Department of Computer Science and Elec. Engineering,SE6032-*,資料科學實務,Data Science Practice,"Liang, De-Ron
chia yu,lin",Master/Doctoral Programme,3,"The objective of this course is aimed at cultivating abilities to data science practice on students. Many data analysis methods would be included into the class and lab, and also the data explanation skills.","W1: 課程介紹 (syllabus、term project說明)    Part I: Data Collection ＆ Pre-processing
W2: Manual Data Collection: CGI/Automatic data collection: Clock syn.
W3: Holiday
W4: Data preprocessing/Data cleansing
W5: Data Augmentation (GAN)/Demos for Midterm proposal ＆ cross evaluation    Part II: Feature Extraction ＆ Transformation
W6: Feature data vs. Histogram/KL Divergence (KLD)
W7: Midterm: proposal reviews
W8: Holiday
W9: GMM, HHT ＆ PCA    Part III: Modeling, Experiment design ＆ Results
W10: t-Test, Wilcoxon Signed Rank test ＆ Chi Square test
W11: Random sampling, Stratified random sampling (SRS) ＆ cross validation     Part IV: Applications  W12: Smart Factory-CNN
W13: Smart Factory-EM
W14: Final Projects Presentation
W15: Final Projects Presentation
W16: Final Projects Presentation    Part V: Advanced Topics (彈性授課)",no textbook needed,100,"Lecture
		
		Practical Training Lab
		
		Others",Final Project 40％  Lab Assignment 30％  GN Reviews 15％  Attendance 15％,Thursday 11 am or Make an appointment via email,16,project with special topics,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52069,1142,Department of Computer Science and Elec. Engineering,SE6033-*,書報討論,Seminar,"Chang, Chia-Hui",Master Programs,1,,,,0,,,,16,According to the explanation provided by the instructor during class.,
52070,1142,Department of Computer Science and Elec. Engineering,CE3071-00,B5G 通訊與衛星通訊安全導論,Introduction to B5G Communications and Satellite Communication Security,"Chuang,Shu-min",Undergraduate Programme,3,,,,0,Lecture,,,,,
52071,1142,Department of Computer Science and Elec. Engineering,CE5061-00,虛擬機系統與應用,Principle and Application of System Virtualization,"Tseng, Li-Ming",Master/Doctoral Programme,3,,,,0,Lecture,,,,,
